#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8010.desc;A peasant in [Root.GetName] got lost recently while trekking near the wilderness. She came across a flat, vertical stone surface where the ancient rulers of the region carved various images and inscriptions. After she reported this to the local officials, you sent in people to investigate and it appears this stone is the last remnants of an imposing ancient monument! The stone can't be re-used, so it must stand where it is, perhaps for all eternity.;Une paysanne de [Root.GetName] s'est récemment perdu lors d'une randonnée près de la nature sauvage. Elle est tombée sur une surface de pierre plate et verticale où les anciens dirigeants de la région ont gravé diverses images et inscriptions. Après qu'elle en ait parlé aux autorités locales, vous avez envoyé des personnes pour enquêter et il apparaît que cette pierre est le dernier vestige d'un imposant monument antique ! La pierre ne peut pas être réutilisée, elle doit donc rester là où elle est, peut-être pour l'éternité.;;;;;;;;;;x;x
VIETmisc.8010.a;Quite a sight to behold!;Un spectacle à voir !;;;;;;;;;;;;x
VIETmisc.8010.b;Heathen symbol. Discourage people from visiting it.;Symbole païen. Découragez les gens de le visiter.;;;;;;;;;;;;x
VIETmisc.8010.c;This is a holy place - build an altar near it.;C'est un lieu saint - construisez un autel près de lui.;;;;;;;;;;;;x
VIETmisc.8010.d;Send a few antiquitarians to study it.;Envoyez quelques antiquaires pour l'étudier.;;;;;;;;;;;;x
VIETmisc.8011.desc;A sandstorm recently swept through [Root.GetName] at a most inopportune time. A large number of people perished, including some soldiers who were on patrol. Furthermore, there was some damage to local infrastructure and buildings.;Une tempête de sable a récemment balayé [Root.GetName] à un moment des plus inopportuns. Un grand nombre de personnes ont péri, y compris des soldats en patrouille. En outre, les infrastructures et les bâtiments locaux ont été endommagés.;;;;;;;;;;x;x
VIETmisc.8011.a;Troubling news.;Des nouvelles inquiétantes.;;;;;;;;;;;;x
#VIETmisc.8012.desc;[target_VIET_vanished_death_courtier.GetName] was never found. The trail ran cold. As far as anyone knows, [target_VIET_vanished_death_courtier.GetSheHe] either went somewhere without telling anyone or died. But it is odd that [target_VIET_vanished_death_courtier.GetSheHe] wouldn't have told anyone, so rumor is that [target_VIET_vanished_death_courtier.GetSheHe] died. What a tragedy!;;;;;;;;;;;x
#VIETmisc.8012.a;Let us hope it was nothing serious.;;;;;;;;;;;;;x
#VIETmisc.8013.desc;[target_VIET_vanished_death_courtier.GetName] was never found. The trail ran cold. As far as anyone knows, [target_VIET_vanished_death_courtier.GetSheHe] either went somewhere without telling anyone or died. But it is odd that [target_VIET_vanished_death_courtier.GetSheHe] wouldn't have told anyone, so rumor is that [target_VIET_vanished_death_courtier.GetSheHe] died. What a tragedy!;;;;;;;;;;;x
#VIETmisc.8013.a;What could have happened to them?;;;;;;;;;;;;;x
VIETmisc.8012.desc;You spot two of your courtiers talking one day. Having nothing to do at that particular moment, you walk up to them, but when they notice you they immediately stop their conversation. "Is something wrong?" you ask.\n\n"Nothing," one of them says, as the other one raises an eyebrow.;Vous remarquez que deux de vos courtisans discutent un jour. N'ayant rien à faire à ce moment-là, vous les approchez, mais quand ils vous remarquent, ils interrompent immédiatement leur conversation. "Quelque chose ne va pas ?" demandez-vous.\n\n "Rien", dit l'un d'eux, tandis que l'autre lève un sourcil.;;;;;;;;;;x;x
VIETmisc.8012.a;Suspicious. Very suspicious....;Suspect. Très suspect....;;;;;;;;;;;;x
VIETmisc.8012.b;This is awkward.;C'est gênant.;;;;;;;;;;;;x
VIETmisc.8012.c;Sounds good!;Ça m'a l'air bien !;;;;;;;;;;;;x
VIETmisc.8012.d;I'll apologize - I'm sure they had their reasons.;Je m'excuserai - je suis sûr qu'ils avaient leurs raisons.;;;;;;;;;;;;x
VIETmisc.8013.desc;Someone is asking me for recommendations for good reading. By coincidence, just yesterday I finished reading a wonderful book. I enjoyed it greatly and would recommend to a lot of people. Specifically, the story is a...;Quelqu'un me demande des recommandations pour une bonne lecture. Par coïncidence, hier, j'ai fini de lire un livre merveilleux. Je l'ai beaucoup apprécié et je le recommanderais à beaucoup de gens. Plus précisément, l'histoire est un ...;;;;;;;;;;x;x
VIETmisc.8013.a;Sappy, dramatic romance about true love.;Roman dramatique sur le véritable amour.;;;;;;;;;;;;x
VIETmisc.8013.b;Gritty, dark tale with bloodshed and deviancy.;Récit sombre avec effusion de sang et déviance.;;;;;;;;;;;;x
VIETmisc.8013.c;Fantastical adventure to foreign lands.;Aventure fantastique sur des terres étrangères.;;;;;;;;;;;;x
VIETmisc.8013.d;Collection of amusing anecdotes about daily life.;Collection d'anecdotes amusantes sur la vie quotidienne.;;;;;;;;;;;;x
VIETmisc.8014.desc;I am entertaining some important members of a nearby city today - they include high ranking officials, merchants, scholars, and more. I notice among them is a young man, handsome and of good heart, yet clearly forlorn and disturbed. "Let him be," one of his companions whispers to me. "He is melancholy because of a woman!";Aujourd'hui, je divertis des membres importants d'une ville voisine - des hauts fonctionnaires, des marchands, des érudits, etc. Je remarque parmi eux un jeune homme, beau et de bon cœur, pourtant clairement abandonné et troublé. "Qu'il en soit ainsi", me dit l'un de ses compagnons. "Il est mélancolique à cause d'une femme !";;;;;;;;;;x;x
VIETmisc.8014.a;What foolishness! I'll set the lad's head straight.;Quelle sottise ! Je vais redresser la tête du garçon.;;;;;;;;;;;;x
VIETmisc.8014.b;Let me reason with the fellow.;Laissez-moi raisonner avec le gars.;;;;;;;;;;;;x
VIETmisc.8014.c;What woe! Love is cruel. I can relate to him well.;Quel malheur ! L'amour est cruel. Je peux bien le comprendre.;;;;;;;;;;;;x
VIETmisc.8014.d;Women? They're nothing but trouble.;Femmes ? Elles ne sont que des ennuis.;;;;;;;;;;;;x
VIETmisc.8014.e;I can offer counsel from a lady's perspective.;Je peux offrir un conseil du point de vue d'une dame.;;;;;;;;;;;;x
VIETmisc.8015.tooltip;Perhaps I can help him with his sorrows.;Peut-être que je peux l'aider avec ses chagrins.;;;;;;;;;;x;x
VIETmisc.8015.desc;As I chat with the young man, he tries to play coy but can't deny that his heart is broken. I cannot determine whether because the girl rejected him, is with another man, died, or that some other calamity happened, but it is definite he will never be with her. Clearly he is lovesick, and the girl certainly seems like a really impressive woman worthy of love. What should I tell him?;Alors que je discute avec le jeune homme, il essaie de jouer le timide mais ne peut nier que son cœur est brisé. Je ne peux pas déterminer si, c'est parce que la fille l'a rejeté, si elle est avec un autre homme, est décédée ou si une autre calamité s'est produite, mais il est certain qu'il ne sera jamais avec elle. Il est clair qu'il a le cœur amoureux, et la fille ressemble certainement à une femme vraiment impressionnante et digne de l'amour. Que devrais-je lui dire ?;;;;;;;;;;x;x
VIETmisc.8015.a;There are many women. Surely you'll meet another!;Il y a beaucoup de femmes. Vous allez sûrement en rencontrer un autre !;;;;;;;;;;;;x
VIETmisc.8015.b;Find a busty wench to satisfy your carnal desires.;Trouvez une fille aux gros seins pour satisfaire vos désirs charnels.;;;;;;;;;;;;x
VIETmisc.8015.c;Let your love inspire you to do great things.;Laissez votre amour vous inspirer pour faire de grandes choses.;;;;;;;;;;;;x
VIETmisc.8015.d;Spoiled idiot! There are worse problems out there!;Idiot gâté ! Il y a des problèmes plus graves là-bas !;;;;;;;;;;;;x
VIETmisc.8016.desc;You are so dedicated to your work that lately you sometimes take your paperwork with you while you are at the chamberpot. Unfortunately today your hand slipped and the papers fell into the chamberpot itself. These were very important papers, too.;Vous êtes tellement attaché à votre travail que récemment, vous emportez parfois vos papiers lorsque vous êtes au pot de chambre. Malheureusement aujourd'hui, votre main a glissé et les papiers sont tombés dans le pot de chambre lui-même. C'étaient aussi des papiers très importants.;;;;;;;;;;x;x
VIETmisc.8016.a;I must recover them!;Je dois les récupérer !;;;;;;;;;;;;x
VIETmisc.8016.b;I think I have learned my lesson about being a workaholic.;Je pense avoir appris ma leçon sur le fait d'être un bourreau de travail.;;;;;;;;;;;;x
VIETmisc.8016.c;Thankfully I told my scribe to make some copies!;Heureusement, j'ai demandé à mon scribe de faire des copies !;;;;;;;;;;;;x
VIETmisc.8017.desc;China, that most august empire, has always been a source of rumors of dubious reliability. Lately, traveling merchants and adventurers relay stories about how the current Empress of China is as powerful and fearsome as she is beautiful and charming. She has a strong grip over the Emperor and is the real authority behind everything, even if she only rules from the shadows.;La Chine, cet auguste empire, a toujours été une source de rumeurs d'une fiabilité douteuse. Dernièrement, des marchands ambulants et des aventuriers racontent comment l'impératrice de Chine actuelle est aussi puissante et redoutable qu'elle est belle et charmante. Elle a une forte emprise sur l'empereur et est la véritable autorité derrière tout, même si elle ne règne que dans l'ombre.;;;;;;;;;;x;x
VIETmisc.8017.a;A fanciful tale! A joke, even!;Un conte fantaisiste ! Une blague, même !;;;;;;;;;;;;x
VIETmisc.8017.b;Stranger things have happened in China.;Des choses étranges se sont produites en Chine.;;;;;;;;;;;;x
VIETmisc.8017.c;It is good women have more power.;C'est bien que les femmes aient plus de pouvoir.;;;;;;;;;;;;x
VIETmisc.8017.d;Tell me more about this great and powerful woman.;Dites-m'en plus sur cette femme grande et puissante.;;;;;;;;;;;;x
VIETmisc.8018.desc;Polo has been popular among the [Culture.GetName] people for many generations. It is no surprise to hear that the people of China also enjoy it. Though women often play polo in many parts of the world, some claim Chinese women as the best polo players in the world! It is said imperial concubines and princesses regularly beat the menfolk of the imperial court at the sport.;Le polo est populaire parmi le peuple [Culture.GetName] depuis de nombreuses générations. Il n'est pas surprenant d'entendre que les Chinois l'apprécient également. Bien que les femmes jouent souvent au polo dans de nombreuses régions du monde, certaines prétendent que les Chinoises sont les meilleures joueuses de polo au monde ! Il est dit que les concubines et les princesses impériales battent régulièrement les hommes de la cour impériale à ce sport.;;;;;;;;;;x;x
VIETmisc.8018.a;I wonder what tricks and techniques they use.;Je me demande quels trucs et techniques elles utilisent.;;;;;;;;;;;;x
VIETmisc.8018.b;Ha! As if any woman could do that!;Ha ! Comme si n'importe quelle femme pouvait faire ça !;;;;;;;;;;;;x
VIETmisc.8018.c;Surely our women are just as good!;Nos femmes sont sûrement aussi bonnes !;;;;;;;;;;;;x
VIETmisc.8018.d;I am not a fan of polo either way.;Je ne suis pas un fan de polo de toute façon.;;;;;;;;;;;;x
VIETmisc.8019.desc;The ocean waters rage and rage and rage around you in your dream, a maddening array of the raw force of nature's destruction, and you are unraveled, helplessly, as you are at their mercy. What is humanity but a speck in the cosmos when compared to all this?;L'océan fait rage et rage et rage autour de vous dans votre rêve, un tableau accablant de la force brute de la destruction de la nature, et vous êtes effondré, impuissant, comme vous êtes à leur merci. Qu'est-ce que l'humanité si ce n'est une tache dans le cosmos par rapport à tout cela ?;;;;;;;;;;x;x
VIETmisc.8019.a;Even this I shall overcome!;Même cela, je vais le vaincre !;;;;;;;;;;;;x
VIETmisc.8019.b;We are insignificant to the cosmos.;Nous sommes insignifiants pour le cosmos.;;;;;;;;;;;;x
VIETmisc.8019.c;Help! Help! Help!;Aidez-moi ! Aidez-moi ! Aidez-moi !;;;;;;;;;;;;x
VIETmisc.8020.desc;I am visiting the patricians prominent in a nearby town. One of them, a lovely young lady, is reputedly an excellent musician, and after the main meeting provides some informal entertainment for everyone present with her singing and music. She plays music beautifully and I am captivated by her sounds of her music.;Je visite les patriciens de premier plan dans une ville voisine. L'une d'elles, une charmante jeune femme, est réputée être une excellente musicienne. Après la réunion principale, elle propose des animations informelles à toutes les personnes présentes avec son chant et sa musique. Elle joue de la musique à merveille et je suis captivée par les sons de sa musique.;;;;;;;;;;x;x
VIETmisc.8020.a;How inspiring! How touching!;Comme c'est inspirant ! C'est touchant !;;;;;;;;;;;;x
VIETmisc.8020.b;Give her a large tip.;Donnez-lui un gros pourboire.;;;;;;;;;;;;x
VIETmisc.8020.c;I want her to become a musician at my court.;Je veux qu'elle devienne musicienne à ma cour.;;;;;;;;;;;;x
VIETmisc.8020.d;I want her at my court, to perform music and other "amusements" for me.;Je la veux à ma cour, pour qu'elle joue de la musique et d'autres "amusements".;;;;;;;;;;;;x
VIETmisc.8021.tooltip;\n\nSurely she would not refuse such an opportunity.;\n\nSurement, elle ne refuserait pas une telle occasion.;;;;;;;;;;x;x
VIETmisc.8021.desc;The lady tells me such a thing would not be possible. She is about to marry a good young man, and cannot bear to leave him alone. She also wishes to continue living in a more familiar setting.;La dame me dit qu'une telle chose ne serait pas possible. Elle est sur le point d'épouser un bon jeune homme et ne peut pas le laisser seul. Elle souhaite également continuer à vivre dans un cadre plus familier.;;;;;;;;;;x;x
VIETmisc.8021.a;What a pity. I understand, however.;Quel dommage. Je comprends cependant.;;;;;;;;;;;;x
VIETmisc.8021.b;How dare she! It's her loss.;Comment ose-t-elle ! C'est sa perte.;;;;;;;;;;;;x
VIETmisc.8021.c;Why doesn't she and her husband to be come to my court?;Pourquoi son mari et elle ne doivent-ils pas venir à ma cour ?;;;;;;;;;;;;x
VIET_offer_money_to_singer;With a generous offer of money, you convince the young couple to come and join your court.;Avec une offre d'argent généreuse, vous convainquez le jeune couple de venir rejoindre votre cour.;;;;;;;;;;x;x
VIETmisc.8022.desc;I have heard about people in the eastern realms live on a vegetarian diet. That is, they refuse to consume meat, often for moral or religious reasons. Clearly there are many different customs around the world, but to subsist without any meat for your entire life? Are there people who would go to such extreme lengths for their beliefs? Does their food even taste good?;J'ai entendu parler de personnes vivant dans les royaumes orientaux qui suivent un régime végétarien. C'est-à-dire qu'ils refusent de consommer de la viande, souvent pour des raisons morales ou religieuses. De toute évidence, il existe de nombreuses coutumes différentes dans le monde, mais subsister sans viande pendant toute sa vie ? Y a-t-il des gens qui iraient si loin pour leurs croyances ? Leur nourriture a-t-elle même bon goût ?;;;;;;;;;;x;x
VIETmisc.8022.a;Such restraint is admirable!;Une telle retenue est admirable !;;;;;;;;;;;;x
VIETmisc.8022.b;We were meant to eat meat! Some are prey, others are predators.;Nous étions censés manger de la viande ! Certains sont des proies, d'autres des prédateurs.;;;;;;;;;;;;x
VIETmisc.8022.c;Only peasants cannot afford meat.;Seuls les paysans ne peuvent pas acheter de viande.;;;;;;;;;;;;x
VIETmisc.8022.d;Those who are [Root.Religion.GetName] already avoid some meats.;Ceux qui sont [Root.Religion.GetName] évitent déjà certaines viandes.;;;;;;;;;;;;x
VIETmisc.8022.e;Customs are different all over the world.;Les coutumes sont différentes dans le monde entier.;;;;;;;;;;;;x
VIET_vegetarian_similarity_to_kosher_halal;Surely avoiding even more meats is not too big a logical jump.;Éviter encore plus de viande n'est pas un saut logique trop important.;;;;;;;;;;;;x
VIETmisc.8023.desc;A traveler is regaling me with stories, and one piques my interest. He heard from someone who heard from someone else who heard from someone else who met a traveler who once traveled south along the seas and reached a small but beautiful island, a paradise where there is always fruit to be found on trees, and the inhabitants live peaceful lives free of illness and violence.;Un voyageur me régale d'histoires et l'une d'elles suscite mon intérêt. Il a eu des nouvelles de quelqu'un qui a entendu de quelqu'un d'autre qui a rencontré quelqu'un qui a rencontré un voyageur qui a voyagé dans le sud le long des mers et a atteint une petite mais belle île, un paradis où il y a toujours des fruits sur les arbres et où ses habitants vivent une vie paisible sans maladie et sans violence.;;;;;;;;;;x;x
VIETmisc.8023.a;An unlikely tale, but an amusing one nevertheless.;Une histoire improbable, mais amusante quand même.;;;;;;;;;;;;x
VIETmisc.8023.b;Perhaps one day I shall visited these blessed isles.;Peut-être qu'un jour je visiterai ces îles bénies.;;;;;;;;;;;;x
VIETmisc.8023.c;I wonder how their society is structured.;Je me demande comment leur société est structurée.;;;;;;;;;;;;x
VIETmisc.8024.desc;There are those who, after eating, prefer to consume a bit of mint leaves before they clean their teeth in the evening. I have just finished dinner and am preparing for bed, but still have some time to take a bit of mint first. Where do I stand on this important matter?;Il y a ceux qui, après avoir mangé, préfèrent consommer un peu de feuilles de menthe avant de se laver les dents le soir. Je viens de terminer le dîner et je me prépare à me coucher, mais j'ai encore un peu de temps pour prendre un peu de menthe en premier. Où suis-je sur cette question importante ?;;;;;;;;;;x;x
VIETmisc.8024.a;Some mint is good and refreshing.;Un peu de menthe est bon et rafraîchissant.;;;;;;;;;;;;x
VIETmisc.8024.b;I have no need. Teeth cleaning is enough.;Je n'en ai pas besoin. Le nettoyage des dents est suffisant.;;;;;;;;;;;;x
VIETmisc.8024.c;Bah! Who bothers? A waste of time for the vain.;Bah ! Qui cela dérange ? Une perte de temps en vain.;;;;;;;;;;;;x
VIETmisc.8024.d;I prefer other herbs actually.;Je préfère les autres herbes en fait.;;;;;;;;;;;;x
VIETmisc.8025.desc;I fell asleep and dream pleasant dreams, dreams that were happy and lifted my spirits and made me feel better about life.;Je me suis endormi et je fais de beaux rêves, des rêves heureux, qui me remontaient le moral et me faisaient sentir mieux dans la vie.;;;;;;;;;;x;x
VIETmisc.8025.a;But then I woke up the next morning.;Mais ensuite je me suis réveillé le lendemain matin.;;;;;;;;;;;;x
VIETmisc.8026.desc;A powerful woman such as myself has many enemies, so I must be constantly surrounded by sturdy, strong bodyguards who will protect me. It helps that many of these young men are well built and aesthetically pleasing. However, some people are spreading malicious rumors, saying these strapping young men are nothing but my lovers!;Une femme aussi puissante que moi a de nombreux ennemis et doit donc être constamment entourée de solides gardes du corps qui me protégeront. Cela aide que beaucoup de ces jeunes hommes soient bien construits et esthétiques. Cependant, certaines personnes répandent des rumeurs malveillantes, affirmant que ces jeunes hommes costauds ne sont que mes amants !;;;;;;;;;;x;x
VIETmisc.8026.a;Preposterous. I am not that sort of woman.;Absurde. Je ne suis pas ce genre de femme.;;;;;;;;;;;;x
VIETmisc.8026.b;Admiring eye candy is one thing, actions are another.;Admirer le plaisir des yeux est une chose, les actions en sont une autre.;;;;;;;;;;;;x
VIETmisc.8026.c;I can't blame them!;Je ne peux pas leur en vouloir !;;;;;;;;;;;;x
VIETmisc.8026.d;The others are jealous of my power.;Les autres sont jaloux de mon pouvoir.;;;;;;;;;;;;x
VIETmisc.8027.desc;A young noblewoman has come to me today seeking advice on what sort of man makes a good husband. As a highly respected lady, I command much prestige and she wants my input on the matter. After discussing the best personality and backgrounds, she asked me what sort of man I found aesthetically pleasing.;Une jeune femme noble est venue me voir aujourd'hui pour obtenir des conseils sur le type d'homme qui fait un bon mari. En tant que femme très respectée, je commande beaucoup de prestige et elle souhaite que je fasse part de mes observations à ce sujet. Après avoir discuté de la meilleure personnalité et des meilleurs milieux, elle m'a demandé quel genre d'homme je trouvais esthétiquement agréable.;;;;;;;;;;x;x
VIETmisc.8027.a;I prefer leaner, slimmer types.;Je préfère les types plus maigres et plus minces.;;;;;;;;;;;;x
VIETmisc.8027.b;Those of average build - neither extreme.;Ceux de la construction moyenne - ni extrême.;;;;;;;;;;;;x
VIETmisc.8027.c;Only the bulky, muscular kinds.;Seuls les types volumineux, musculaires.;;;;;;;;;;;;x
VIETmisc.8028.desc;Whispers of the ghost of [Root.GetName] have reached your court. Many sightings have been reported along the cliffs by several coastal villages, of how every evening the faint trace of a ghost appears and gazes into the waters for a few hours before disappearing. The ghost is not malevolent at all, and at most merely points, almost dreamlike, towards something which most likely we cannot see nor understand. A few even claimed that the ghost has guided wayward travelers.;Les murmures du fantôme de [Root.GetName] ont atteint votre cour. De nombreux villages côtiers ont signalé de nombreuses observations le long des falaises montrant chaque nuit la faible trace d'un fantôme qui se fixait dans les eaux pendant quelques heures avant de disparaître. Le fantôme n'est pas du tout malveillant, et tout au plus pointe simplement, presque comme un rêve, vers quelque chose que nous ne pouvons probablement pas voir ni comprendre. Quelques-uns ont même prétendu que le fantôme avait guidé les voyageurs égarés.;;;;;;;;;;x;x
VIETmisc.8028.a;What a ghost story!;Quelle histoire de fantôme !;;;;;;;;;;;;x
VIETmisc.8029.desc;There are scholars who claim that one day, we will be able to make contraptions that allow us to fly like birds. Other thinkers say this is an impossibility.;Il y a des érudits qui prétendent qu'un jour, nous pourrons créer des engins nous permettant de voler comme des oiseaux. D'autres penseurs disent que c'est une impossibilité.;;;;;;;;;;x;x
VIETmisc.8029.a;If we can dream it, then it is possible.;Si on peut en rêver, alors c'est possible.;;;;;;;;;;;;x
VIETmisc.8029.b;Let us be realistic here - we are not birds.;Soyons réalistes ici - nous ne sommes pas des oiseaux.;;;;;;;;;;;;x
VIETmisc.8029.c;To do so would be an affront to the heavens.;Ce serait un affront au ciel.;;;;;;;;;;;;x
